,tiempo_ms
,173
,113
,227
,184
,111
,152
,224
,214
,151
,129
,229
,147
,246
,125
,162
,156
,179
,225
,188
,180
,249
,185
,231
,175
,247
,244
,183
,253
,321
,192
 ,
